1.1.001|1.1.001 वृद्धिरादैच्	आ, ऐ and औ are called वृद्धि।<br><br>Terms: वृद्धि
4.1.057|4.1.057 सहनञ्विद्यमानपूर्वाच्च	The affix ङीष् does not come in the feminine after a प्रातिपदिक (Nominal Stem) denoting a part of the body when the word is subordinate in a compound, preceded by the word 1. सह 'with' 2. नञ् 'not' or 3. विद्यमान 'having'.<br><br>Terms: विभक्ति-ङीष्
4.1.058|4.1.058 नखमुखात्‌ संज्ञायाम्	The feminine affix ङीष् is not used after 1. नख 2. मुख when (the word at the end of which they stand) is a Name.<br><br>Terms: विभक्ति-ङीष्
4.1.059|4.1.059 दीर्घजिह्वी च च्छन्दसि	The form दीर्घजिह्वी 'long-tongued' is irregularly formed in the छन्दस् (Vedas).<br><br>Terms: Irregular
4.1.060|4.1.060 दिक्पूर्वपदान्ङीप्‌	The feminine affix ङीप् comes after a प्रातिपदिक (Nominal Stem) which is preceded by a word signifying direction.<br><br>Terms: विभक्ति-ङीप्
4.1.061|4.1.061 वाहः	The feminine affix ङीष् comes after a प्रातिपदिक (Nominal Stem) ending with the word वाह्।<br><br>Terms: विभक्ति-ङीष्
4.1.062|4.1.062 सख्यशिश्वीति भाषायाम्	The forms सखी and अशिश्वी are irregular forms ending in ङीष् found in secular (or vernacular as opposed to Vedic) Sanskrit.<br><br>Terms: Irregular
4.1.063|4.1.063 जातेरस्त्रीविषयादयोपधात्‌	The feminine affix ङीष् comes after a word denoting a जाति or species when it does not express in its original meaning a feminine and which moreovere has not the letter य् for its penultimate.<br><br>Terms: विभक्ति-ङीष्
4.1.064|4.1.064 पाककर्णपर्णपुष्पफलमूलबालोत्तरपदाच्च	And the feminine affix ङीष् comes after the प्रातिपदिक (Nominal Stem) expressive of जाति , followed by the following 1. पाक 'cooked' 2. कर्ण 'ear' 3. पुष्प 'flower' 4. फल 'fruit' 5. मूल 'root' 6. बाल 'youth'<br><br>Terms: विभक्ति-ङीष्
4.1.065|4.1.065 इतो मनुष्यजातेः	The feminine affix ङीष् comes after a प्रातिपदिक (Nominal Stem) ending in short इ denoting classes or races of men.<br><br>Terms: विभक्ति-ङीष्
4.1.066|4.1.066 ऊङुतः	After a प्रातिपदिक (Nominal Stem) ending in short उ , not having the letter य् as its penultimate letter and being expressive of races of men, the affix in the feminine is ऊङ्।<br><br>Terms: विभक्ति-ऊङ्
4.1.067|4.1.067 बाह्वन्तात्‌ संज्ञायाम्	The feminine affix ऊङ् comes in denoting a Name after a प्रातिपदिक (Nominal Stem) ending with the word बाहु।<br><br>Terms: विभक्ति-ऊङ्
4.1.068|4.1.068 पङ्गोश्च	The feminine affix ऊङ् comes after the word पंगु 'lame'.<br><br>Terms: विभक्ति-ऊङ्
4.1.069|4.1.069 ऊरूत्तरपदादौपम्ये	When the feminine affix ऊङ् comes after a stem ending in ऊरु when comparision with something (expressed by the first term) is meant.<br><br>Terms: विभक्ति-ऊङ्
4.1.070|4.1.070 संहितशफलक्षणवामादेश्च	The feminine affix ऊङ् comes in the छन्दस् (Vedas) after the word ऊरु when the words 1. संहित 'accompained or joined' 2. शफ 'a hoof' 3. लक्षण 'a mark' 4. वाम 'handsome' precede it.<br><br>Terms: विभक्ति-ऊङ्
4.1.071|4.1.071 कद्रुकमण्डल्वोश्छन्दसि	The feminine affix ऊङ् comes in the छन्दस् (Vedas) after the words 1. कद्रु 'twany' 2. कमण्डलु 'a water pot'.<br><br>Terms: विभक्ति-ऊङ्
4.1.072|4.1.072 संज्ञायाम्	The feminine affix ऊङ् comes in denoting a Name after the words 1. कद्रु 'twany' 2. कमण्डलु 'a water pot'.<br><br>Terms: विभक्ति-ऊङ्
4.1.073|4.1.073 शार्ङ्गरवाद्यञो ङीन्	The feminine affix ङीन् comes after the words शार्ङ्गरव etc. and that which ends with the affix अञ्।<br><br>Terms: विभक्ति-ङीन्
4.1.074|4.1.074 यङश्चाप्‌	The feminine affix चाप् comes after a stem which is formed by the affix ञ्यङ् or ष्यङ्।<br><br>Terms: विभक्ति-चाप्
4.1.075|4.1.075 आवट्याच्च	And the feminine affix चाप् comes after the word आवट्य।<br><br>Terms: विभक्ति-चाप्
4.1.076|4.1.076 तद्धिताः	The तद्धित-affixes are treated of here after.<br><br>Terms: तद्धित
4.1.077|4.1.077 यूनस्तिः	The feminine affix ति comes after the प्रातिपदिक (Nominal Stem) युवन् and this affix gets the name तद्धित।<br><br>Terms: तद्धित
4.1.078|4.1.078 अणिञोरनार्षयोर्गुरूपोत्तमयोः ष्यङ् गोत्रे	In Patronymics used in narrower sense (counting first from the grand-child), which are formed the affixes अण् and इञ् , the feminine is formed by substituting य (ष्यङ्) for the अ and इ of those affixes and adding the long आ under -- यङश्चाप्‌ 4.1.74, provided that they do not denote ऋषि clans and have prosodially long syllable preceding the last syllable.<br><br>Terms: ष्यङ्
4.1.079|4.1.079 गोत्रावयवात्‌	After a word denoting a non-principal गोत्र , ष्यङ् is the substitute of अण् and इञ् , the feminine, even though the syllable preceding the final be not prosodially long.<br><br>Terms: ष्यङ्
4.1.080|4.1.080 क्रौड्यादिभ्यश्च	The affix ष्यङ् comes in the feminine after the words क्रौडि etc.<br><br>Terms: ष्यङ्
4.1.081|4.1.081 दैवयज्ञिशौचिवृक्षिसात्यमुग्रिकाण्ठेविद्धिभ्योऽन्यतरस्याम्	The affix ष्यङ् optionally comes after the words 1. दैवयज्ञि 2. शौचिवृक्षि 3. सात्यमुग्रि and 4. काण्ठेविद्धि ।<br><br>Terms: ष्यङ्
4.1.082|4.1.082 समर्थानां प्रथमाद्वा	The तद्धित affixes, on the alternative of their being used at all, comes after the word that is signified by the first of the words in construction in a sūtra.<br><br>Terms: तद्धित
4.1.083|4.1.083 प्राग्दीव्यतोऽण्	The affix अण् should be understood to come after whatever we shall teach hereafter up to sūtra तेन दीव्यति खनति जयति जितम् 4.4.2 etc.<br><br>Terms: अण्
4.1.084|4.1.084 अश्वपत्यादिभ्यश्च	The affix अण् comes after the प्रातिपदिक (Nominal Stem) अश्वपति etc., in the various mentioned senses antedcedently up to तेन दीव्यति खनति जयति जितम् 4.4.2.<br><br>Terms: अण्
